"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","Branding Theme"
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225506/1    XN17JV    32.44t    Fill Sand Will",32.44,10,"","411000","GST on Income",32.44,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225765/1    3SNOOP    38.78t    Fill Sand Will",38.78,10,"","411000","GST on Income",38.78,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225766/1    XO25FD    37.02t    Fill Sand Will",37.02,9.999999999999998,"","411000","GST on Income",37.02,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225769/1    4SNOOP    42.26t    Fill Sand Will",42.26,10.000000000000002,"","411000","GST on Income",42.26,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225771/1    XN15KO    36.96t    Fill Sand Will",36.96,10,"","411000","GST on Income",36.96,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225775/1    FHE600    35.48t    Fill Sand Will",35.48,10.000000000000002,"","411000","GST on Income",35.48,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225776/1    FHE480    36.56t    Fill Sand Will",36.56,10,"","411000","GST on Income",36.56,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225793/1    FHE610    37.36t    Fill Sand Will",37.36,10,"","411000","GST on Income",37.36,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225802/1    4SNOOP    42.00t    Fill Sand Will",42,10,"","411000","GST on Income",42,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225804/1    3SNOOP    39.18t    Fill Sand Will",39.18,10,"","411000","GST on Income",39.18,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225808/1    FHE600    36.18t    Fill Sand Will",36.18,10,"","411000","GST on Income",36.18,"","","","","",""
