"Narration","Date","Description","Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","tracking 1 Name","tracking 1 Option","tracking 2 Name","tracking 2 Option","Status","Trans #"
"PV202105001","23/04/2021",".","5121101",-1,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105004","05/05/2021",".","9999",-1200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105004","05/05/2021",".","9999",1200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105002","24/05/2021",".","9999",-100000.16,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105002","24/05/2021",".","5161101",102885,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105002","24/05/2021",".","9999",-2884.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105002","24/05/2021",".","5191103",-0.22,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105006","31/05/2021",".","9999",-11400,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105006","31/05/2021",".","5111101",12000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105006","31/05/2021",".","9999",-1200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105006","31/05/2021",".","5121101",600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106002","02/06/2021",".","9999",-2884.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106002","02/06/2021",".","9999",2884.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106003","02/06/2021",".","9999",-1200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106003","02/06/2021",".","9999",1200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105005","04/06/2021",".","9999",-4880,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105005","04/06/2021",".","9999",4880,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202106001","18/06/2021",".","9999",217.25,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202106001","18/06/2021",".","4200001",-217.25,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106006","18/06/2021",".","9999",-32.59,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106006","18/06/2021",".","4200001",32.59,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106007","18/06/2021",".","9999",-12600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106007","18/06/2021",".","9999",12600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106004","29/06/2021",".","9999",-100000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106004","29/06/2021",".","5161101",102885,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106004","29/06/2021",".","9999",-2884.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106004","29/06/2021",".","5191103",-0.38,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
