"Account Code","Balance","Conversion Date"
"168",-25,"NaN-NaN-NaN"
"168",-25,"NaN-NaN-NaN"
"168",-25,"NaN-NaN-NaN"
"168",-25,"NaN-NaN-NaN"
"169",-28,"NaN-NaN-NaN"
"169",-28,"NaN-NaN-NaN"
"169",-28,"NaN-NaN-NaN"
"169",-28,"NaN-NaN-NaN"
"170",-29,"NaN-NaN-NaN"
"170",-29,"NaN-NaN-NaN"
"170",-29,"NaN-NaN-NaN"
"170",-29,"NaN-NaN-NaN"
"170",-29,"NaN-NaN-NaN"
"170",-29,"NaN-NaN-NaN"
"170",-29,"NaN-NaN-NaN"
"170",-29,"NaN-NaN-NaN"
"170",-29,"NaN-NaN-NaN"
"171",-20,"NaN-NaN-NaN"
"171",-20,"NaN-NaN-NaN"
"171",-20,"NaN-NaN-NaN"
"171",-20,"NaN-NaN-NaN"
"172",-24,"NaN-NaN-NaN"
"172",-24,"NaN-NaN-NaN"
"172",-24,"NaN-NaN-NaN"
"172",-24,"NaN-NaN-NaN"
"173",-24,"NaN-NaN-NaN"
"173",-24,"NaN-NaN-NaN"
"173",-24,"NaN-NaN-NaN"
"173",-24,"NaN-NaN-NaN"
"174",-25,"NaN-NaN-NaN"
"174",-25,"NaN-NaN-NaN"
"174",-25,"NaN-NaN-NaN"
"176",-25,"NaN-NaN-NaN"
"176",-25,"NaN-NaN-NaN"
"176",-25,"NaN-NaN-NaN"
"176",-25,"NaN-NaN-NaN"
"176",-25,"NaN-NaN-NaN"
"176",-25,"NaN-NaN-NaN"
"177",-30,"NaN-NaN-NaN"
"177",-30,"NaN-NaN-NaN"
"177",-30,"NaN-NaN-NaN"
"177",-30,"NaN-NaN-NaN"
"177",-30,"NaN-NaN-NaN"
"175",-31,"NaN-NaN-NaN"
"175",-31,"NaN-NaN-NaN"
"178",-31,"NaN-NaN-NaN"
"178",-31,"NaN-NaN-NaN"
"179",-31,"NaN-NaN-NaN"
"179",-31,"NaN-NaN-NaN"
"180",-31,"NaN-NaN-NaN"
"180",-31,"NaN-NaN-NaN"
"180",-31,"NaN-NaN-NaN"
"181",-31,"NaN-NaN-NaN"
"181",-31,"NaN-NaN-NaN"
"181",-31,"NaN-NaN-NaN"
"181",-31,"NaN-NaN-NaN"
"182",-31,"NaN-NaN-NaN"
"182",-31,"NaN-NaN-NaN"
