"Date","Contact Name","Reference","Description","Item Account Code","Bank Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","Tracking Name 1","Tracking Option 1","Tracking Name 2","Tracking Option 2","Currency Code","Exchange Rate","Trans #"
"29/11/2024","Caryon SA - HQ","PV202411001",".","9999","","821747.51","BAS Excluded","",,,,,,,,""
"29/11/2024","Caryon SA - HQ","PV202411001",".","9999","","2239.26","BAS Excluded","",,,,,,,,""
"29/11/2024","Caryon SA - HQ","PV202411001",".","9999","","118985.13","BAS Excluded","",,,,,,,,""
"29/11/2024","Caryon SA - HQ","PV202411001",".","9999","","2239.26","BAS Excluded","",,,,,,,,""
"29/11/2024","Karyon�Petroleum","PV202411001",".","9999","","102145.88","BAS Excluded","",,,,,,,,""
"20/12/2024","KBANK","RV202412001",".","9999","","74.89","BAS Excluded","",,,,,,,,""
"24/12/2024","Ms. Oraphan Charoensutchai","PV202412001",".","9999","","935.00","BAS Excluded","",,,,,,,,""
"24/12/2024","No Name","PV202412002",".","9999","","225.00","BAS Excluded","",,,,,,,,""
"25/12/2024","KBANK","RV202412002",".","9999","","4.81","BAS Excluded","",,,,,,,,""
"25/12/2024","Caryon SA - HQ","PV202412003",".","9999","","1119067.81","BAS Excluded","",,,,,,,,""
"25/12/2024","Caryon SA - HQ","PV202412003",".","9999","","2232.82","BAS Excluded","",,,,,,,,""
"25/12/2024","Caryon SA - HQ","PV202412003",".","9999","","115143.51","BAS Excluded","",,,,,,,,""
"25/12/2024","Caryon SA - HQ","PV202412003",".","9999","","2232.82","BAS Excluded","",,,,,,,,""
"30/12/2024","Caryon SA - HQ","PV202412004",".","9999","","250683.25","BAS Excluded","",,,,,,,,""
"30/12/2024","Caryon SA - HQ","PV202412004",".","9999","","2219.50","BAS Excluded","",,,,,,,,""
"31/12/2024","No Name","JV202412004",".","9999","","16244.16","BAS Excluded","",,,,,,,,""
